From	To
H3BNX8	COX5A
H3BP20	HEXA
H3BPE7	FUS
H3BQK0	DDX19B
H3BQK9	MACF1
H3BS72	HACD3
H3BSH7	UTP4
H3BSW6	CTU2
H3BTU6	CORO1A
H3BU86	STX16-NPEPL1
H3BUB6	SCAMP2
H3BVG0	NUP93
H7BXF5	SAP130
H7BXI1	ESYT2
H7BYX6	NCAM1
H7BYY1	TPM1
H7BZ14	PPIL3
H7BZJ3	PDIA3
H7BZT1	SF1
H7C0L5	ITIH4
H7C0S5	SLC35F5
H7C1E4	AP1S1
H7C1M2	SON
H7C1N3	BET1
H7C2H7	LTBP1
H7C2I1	PRMT1
H7C2N1	PTMA
H7C426	RNF181
H7C4C5	MAP4
H7C561	SF1
H9KV75	ACTN1
I1E4Y6	GIGYF2
I3L0A0	PEDS1-UBE2V1
I3L0L0	RUNX2
I3L1Q2	BCL7C
I3L1Y9	FLYWCH2
I3L3H0	PCTP
I3L3Q4	GLOD4
I3L4A1	CHMP6
I3L4N8	ACTG1
I3L504	EIF5A
J3KMX3	AFP
J3KMZ8	DPF2
J3KN16	ECPAS
J3KN67	TPM3
J3KNB4	CAMP
J3KNF5	CEP290
J3KNI1	COG4
J3KNL2	SEPTIN1
J3KNL6	SEC16A
J3KNR0	MARK3
J3KNS1	AGTPBP1
J3KPA1	CRISP3
J3KPD6	HCK
J3KPF0	HECTD4
J3KPH8	HDAC7
J3KPM9	STAT1
J3KPP4	LUC7L3
J3KPS3	ALDOA
J3KQ18	DDT
J3KQ32	OLA1
J3KQ41	COPS7B
J3KQ48	PTRH2
J3KQ66	RELN
J3KQE5	RAN
J3KQJ1	SUMF2
J3KQL8	APOL2
J3KQN4	RPL36A
J3KQR4	ZNF418
J3KQY1	MRPL22
J3KR35	CCDC12
J3KR55	PTPN7
J3KR97	TBCD
J3KS52	CD300LF
J3KS54	FLII
J3KSW8	MPRIP
J3KTA1	FBXL20
J3KTA4	DDX5
J3KTD8	CBFB
J3KTI2	MIEN1
J3KTL2	SRSF1
J3QL06	HYOU1
J3QL71	SCRN2
J3QLJ5	MIF4GD
J3QQ67	RPL18
J3QQX2	ARHGDIA
J3QR44	CDK11B
J3QR77	CD226
J3QRB6	MAP3K3
J3QRS3	MYL12A
J3QRU1	YES1
J3QSW6	KALRN
J3QTA2	BAG1
J9JIE6	TMCO1
K7EIK7	EML2
K7EJ20	GPX4
K7EK60	FMNL1
K7ELC2	RPS15
K7ELC7	RPL27
K7ELG9	LSM12
K7ELL7	PRKCSH
K7ELP0	TPM4
K7EM18	EIF1
K7ENT6	TPM4
K7EQ37	UNC13D
K7ER00	FARSA
K7ER74	APOC4-APOC2
K7ER90	EIF3G
K7ERG9	CFD
L0R6Q1	SLC35A4
M0QWZ7	SARS2
M0QXB4	COPE
M0QXB5	ETHE1
M0QXF9	BCAT2
M0QXZ6	GMFG
M0QY77	KXD1
M0QYM7	TUBB4A
M0QYS1	RPL13A
M0QYZ2	AP2S1
M0QZR4	ARHGEF1
M0R0P8	MYO9B
M0R0Q9	C3
M0R0R2	RPS5
M0R1J3	LOC400499
M0R2A0	EMC10
M0R2Z9	SUGP2
M1EA21	DAPL1
O00115	DNASE2
O00116	AGPS
O00139	KIF2A
O00148	DDX39A
O00151	PDLIM1
O00154	ACOT7
O00159	MYO1C
O00160	MYO1F
O00161	SNAP23
O00170	AIP
O00178	GTPBP1
O00182	LGALS9
O00186	STXBP3
O00193	SMAP
O00194	RAB27B
O00203	AP3B1
O00214	LGALS8
O00217	NDUFS8
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00264	PGRMC1
O00267	SUPT5H
O00268	TAF4
O00273	DFFA
O00291	HIP1
O00299	CLIC1
O00303	EIF3F
O00329	PIK3CD
O00330	PDHX
O00391	QSOX1
O00399	DCTN6
O00411	POLRMT
O00429	DNM1L
O00442	RTCA
O00461	GOLIM4
O00479	HMGN4
O00481	BTN3A1
O00483	NDUFA4
O00487	PSMD14
O00499	BIN1
O00534	VWA5A
O00541	PES1
O00562	PITPNM1
O00567	NOP56
O00602	FCN1
O00629	KPNA4
O00743	PPP6C
O00754	MAN2B1
O00764	PDXK
O14497	ARID1A
O14523	C2CD2L
O14530	TXNDC9
O14545	TRAFD1
O14548	COX7A2L
O14561	NDUFAB1
O14562	UBFD1
O14602	EIF1AY
O14617	AP3D1
O14618	CCS
O14639	ABLIM1
O14641	DVL2
O14657	TOR1B
O14672	ADAM10
O14686	KMT2D
O14727	APAF1
O14735	CDIPT
O14737	PDCD5
O14744	PRMT5
O14745	NHERF1
O14773	TPP1
O14776	TCERG1
O14787	TNPO2
O14791	APOL1
O14815	CAPN9
O14818	PSMA7
O14828	SCAMP3
O14841	OPLAH
O14867	BACH1
O14874	BCKDK
O14879	IFIT3
O14910	LIN7A
O14920	IKBKB
O14929	HAT1
O14933	UBE2L6
O14949	UQCRQ
O14964	HGS
O14974	PPP1R12A
O14976	GAK
O14979	HNRNPDL
O14980	XPO1
O15031	PLXNB2
O15042	U2SURP
O15050	TRANK1
O15067	PFAS
O15111	CHUK
O15117	FYB1
O15118	NPC1
O15126	SCAMP1
O15127	SCAMP2
O15143	ARPC1B
O15144	ARPC2
O15145	ARPC3
O15151	MDM4
O15173	PGRMC2
O15194	CTDSPL
O15211	RGL2
O15212	PFDN6
O15228	GNPAT
O15230	LAMA5
O15231	ZNF185
O15260	SURF4
O15264	MAPK13
O15269	SPTLC1
O15270	SPTLC2
O15294	OGT
O15305	PMM2
O15347	HMGB3
O15355	PPM1G
O15357	INPPL1
O15371	EIF3D
O15381	NVL
O15400	STX7
O15427	SLC16A3
O15498	YKT6
O15511	ARPC5
O15514	POLR2D
O15523	DDX3Y
O15530	PDPK1
O15541	RNF113A
O15553	MEFV
O43143	DHX15
O43147	SGSM2
O43148	RNMT
O43149	ZZEF1
O43150	ASAP2
O43159	RRP8
O43166	SIPA1L1
O43167	ZBTB24
O43172	PRPF4
O43174	CYP26A1
